service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
MAY13-MVS-BUS-Weekday-02,1,1,1,1,1,0,0,20130529,20130604
MAY13-MVS-BUS-Saturday-01,0,0,0,0,0,1,0,20130601,20130817
MAY13-MVS-BUS-Sunday-01,0,0,0,0,0,0,1,20130602,20130818
MAY13-MVS-BUS-Weekday-01,1,1,1,1,1,0,0,20130529,20130823
MAY13-MVS-BUS-Holiday-01,0,0,0,0,0,0,1,20130704,20130704
MAY13-MVS-BUS-Reduced-01,0,0,0,0,0,1,0,20130705,20130705
MAY13-MVS-NS-Weekday-01,1,1,1,1,1,0,0,20130529,20130823
MAY13-MVS-NS-Saturday-01,0,0,0,0,0,1,0,20130601,20130817
MAY13-MVS-NS-Sunday-01,0,0,0,0,0,0,1,20130602,20130818
MAY13-MVS-NS-Reduced-01,0,0,0,0,0,1,0,20130705,20130705
MAY13-MVS-RAIL-Weekday-01,1,1,1,1,1,0,0,20130529,20130823
MAY13-MVS-RAIL-Weekday-01-0000100,0,0,0,0,1,0,0,20130529,20130823
MAY13-MVS-RAIL-Saturday-01,0,0,0,0,0,1,0,20130601,20130817
MAY13-MVS-RAIL-Sunday-01,0,0,0,0,0,0,1,20130602,20130818
MAY13-MVS-RAIL-Holiday-01,0,0,0,0,0,0,1,20130704,20130704
MAY13-MVS-RAIL-Reduced-01,0,0,0,0,0,1,0,20130705,20130705
MAY13-MVS-SUB-Weekday-01,1,1,1,1,1,0,0,20130529,20130621
MAY13-MVS-SUB-Weekday-01-0000100,0,0,0,0,1,0,0,20130529,20130621
MAY13-MVS-SUB-Saturday-01,0,0,0,0,0,1,0,20130601,20130615
MAY13-MVS-SUB-Sunday-01,0,0,0,0,0,0,1,20130602,20130616
MAY13-MVS-SUB-Saturday-02,0,0,0,0,0,1,0,20130622,20130817
MAY13-MVS-SUB-Sunday-02,0,0,0,0,0,0,1,20130623,20130818
MAY13-MVS-SUB-Weekday-02,1,1,1,1,1,0,0,20130624,20130823
MAY13-MVS-SUB-Weekday-02-0000100,0,0,0,0,1,0,0,20130624,20130823
