route_id,service_id,trip_id,trip_headsign,block_id,shape_id,wheelchair_accessible
831-62,MAY13-MVS-BUS-Weekday-01,6527925-MAY13-MVS-BUS-Weekday-01,"North 831 NORTHTOWN/BLAINE",31510,8310001,1
831-62,MAY13-MVS-BUS-Weekday-01,6527926-MAY13-MVS-BUS-Weekday-01,"South 831 BLAINE / NORTHTOWN",31510,8310002,1
831-62,MAY13-MVS-BUS-Weekday-01,6527927-MAY13-MVS-BUS-Weekday-01,"North 831 NORTHTOWN/BLAINE",31510,8310001,1
831-62,MAY13-MVS-BUS-Weekday-01,6527928-MAY13-MVS-BUS-Weekday-01,"South 831 BLAINE / NORTHTOWN",31510,8310002,1
831-62,MAY13-MVS-BUS-Weekday-01,6527929-MAY13-MVS-BUS-Weekday-01,"North 831 NORTHTOWN/BLAINE",31510,8310001,1
831-62,MAY13-MVS-BUS-Weekday-01,6527930-MAY13-MVS-BUS-Weekday-01,"South 831 BLAINE / NORTHTOWN",31510,8310002,1
831-62,MAY13-MVS-BUS-Weekday-01,6527931-MAY13-MVS-BUS-Weekday-01,"North 831 NORTHTOWN/BLAINE",31510,8310001,1
831-62,MAY13-MVS-BUS-Weekday-01,6527932-MAY13-MVS-BUS-Weekday-01,"South 831 BLAINE / NORTHTOWN",31510,8310002,1
831-62,MAY13-MVS-BUS-Weekday-01,6527933-MAY13-MVS-BUS-Weekday-01,"North 831 NORTHTOWN/BLAINE",31510,8310001,1
831-62,MAY13-MVS-BUS-Weekday-01,6527934-MAY13-MVS-BUS-Weekday-01,"South 831 BLAINE / NORTHTOWN",31510,8310002,1
831-62,MAY13-MVS-BUS-Weekday-01,6527935-MAY13-MVS-BUS-Weekday-01,"North 831 NORTHTOWN/BLAINE",31510,8310001,1
831-62,MAY13-MVS-BUS-Weekday-01,6527936-MAY13-MVS-BUS-Weekday-01,"South 831 BLAINE / NORTHTOWN",31510,8310002,1
831-62,MAY13-MVS-BUS-Weekday-01,6527937-MAY13-MVS-BUS-Weekday-01,"North 831 NORTHTOWN/BLAINE",31510,8310001,1
831-62,MAY13-MVS-BUS-Weekday-01,6527938-MAY13-MVS-BUS-Weekday-01,"South 831 BLAINE / NORTHTOWN",31510,8310002,1
831-62,MAY13-MVS-BUS-Weekday-01,6527939-MAY13-MVS-BUS-Weekday-01,"North 831 NORTHTOWN/BLAINE",31511,8310001,1
831-62,MAY13-MVS-BUS-Weekday-01,6527940-MAY13-MVS-BUS-Weekday-01,"South 831 BLAINE / NORTHTOWN",31511,8310002,1
831-62,MAY13-MVS-BUS-Weekday-01,6527941-MAY13-MVS-BUS-Weekday-01,"North 831 NORTHTOWN/BLAINE",31511,8310001,1
831-62,MAY13-MVS-BUS-Weekday-01,6527942-MAY13-MVS-BUS-Weekday-01,"South 831 BLAINE / NORTHTOWN",31511,8310002,1
831-62,MAY13-MVS-BUS-Weekday-01,6527943-MAY13-MVS-BUS-Weekday-01,"North 831 NORTHTOWN/BLAINE",31511,8310001,1
831-62,MAY13-MVS-BUS-Weekday-01,6527944-MAY13-MVS-BUS-Weekday-01,"South 831 BLAINE / NORTHTOWN",31511,8310002,1
831-62,MAY13-MVS-BUS-Weekday-01,6527945-MAY13-MVS-BUS-Weekday-01,"North 831 NORTHTOWN/BLAINE",31511,8310001,1
831-62,MAY13-MVS-BUS-Weekday-01,6527946-MAY13-MVS-BUS-Weekday-01,"South 831 BLAINE / NORTHTOWN",31511,8310002,1
831-62,MAY13-MVS-BUS-Weekday-01,6527947-MAY13-MVS-BUS-Weekday-01,"North 831 NORTHTOWN/BLAINE",31511,8310001,1
831-62,MAY13-MVS-BUS-Weekday-01,6527948-MAY13-MVS-BUS-Weekday-01,"South 831 BLAINE / NORTHTOWN",31511,8310002,1
831-62,MAY13-MVS-BUS-Weekday-01,6527949-MAY13-MVS-BUS-Weekday-01,"North 831 NORTHTOWN/BLAINE",31511,8310001,1
663-62,MAY13-MVS-BUS-Weekday-01,6527967-MAY13-MVS-BUS-Weekday-01,"West 663  Express / Greenbrier",2064,6630002,1
663-62,MAY13-MVS-BUS-Weekday-01,6527968-MAY13-MVS-BUS-Weekday-01,"West 663  Express / Greenbrier",2115,6630002,1
663-62,MAY13-MVS-BUS-Weekday-01,6527969-MAY13-MVS-BUS-Weekday-01,"East 663  Express / Downtown",2019,6630001,1
663-62,MAY13-MVS-BUS-Weekday-01,6527970-MAY13-MVS-BUS-Weekday-01,"East 663  Express / Downtown",2019,6630001,1
663-62,MAY13-MVS-BUS-Weekday-01,6527971-MAY13-MVS-BUS-Weekday-01,"East 663  Express / Downtown",2020,6630001,1
663-62,MAY13-MVS-BUS-Weekday-01,6527972-MAY13-MVS-BUS-Weekday-01,"West 663  Express / Greenbrier",2021,6630002,1
663-62,MAY13-MVS-BUS-Weekday-01,6527973-MAY13-MVS-BUS-Weekday-01,"West 663  Express / Greenbrier",2021,6630002,1
663-62,MAY13-MVS-BUS-Weekday-01,6527974-MAY13-MVS-BUS-Weekday-01,"East 663  Express / Downtown",2027,6630001,1
663-62,MAY13-MVS-BUS-Weekday-01,6527975-MAY13-MVS-BUS-Weekday-01,"East 663  Express / Downtown",2029,6630001,1
663-62,MAY13-MVS-BUS-Weekday-01,6527976-MAY13-MVS-BUS-Weekday-01,"West 663  Express / Greenbrier",2030,6630002,1
663-62,MAY13-MVS-BUS-Weekday-01,6527977-MAY13-MVS-BUS-Weekday-01,"West 663  Express / Greenbrier",2030,6630002,1
663-62,MAY13-MVS-BUS-Weekday-01,6527978-MAY13-MVS-BUS-Weekday-01,"West 663  Express / Greenbrier",2031,6630002,1
663-62,MAY13-MVS-BUS-Weekday-01,6527979-MAY13-MVS-BUS-Weekday-01,"East 663  Express / Downtown",2032,6630001,1
663-62,MAY13-MVS-BUS-Weekday-01,6527980-MAY13-MVS-BUS-Weekday-01,"East 663  Express / Downtown",2028,6630001,1
663-62,MAY13-MVS-BUS-Weekday-01,6527981-MAY13-MVS-BUS-Weekday-01,"East 663  Express / Downtown",2028,6630001,1
663-62,MAY13-MVS-BUS-Weekday-01,6527982-MAY13-MVS-BUS-Weekday-01,"West 663  Express / Greenbrier",2056,6630002,1
643-62,MAY13-MVS-BUS-Weekday-01,6527983-MAY13-MVS-BUS-Weekday-01,"West 643  Ltd Stop / Hedberg Dr",2019,6430003,1
643-62,MAY13-MVS-BUS-Weekday-01,6527984-MAY13-MVS-BUS-Weekday-01,"West 643  Ltd Stop / Hedberg Dr",2019,6430003,1
643-62,MAY13-MVS-BUS-Weekday-01,6527985-MAY13-MVS-BUS-Weekday-01,"West 643  Ltd Stop / Hedberg Dr",2020,6430003,1
643-62,MAY13-MVS-BUS-Weekday-01,6527986-MAY13-MVS-BUS-Weekday-01,"East 643  Ltd Stop / Downtown",2021,6430002,1
643-62,MAY13-MVS-BUS-Weekday-01,6527987-MAY13-MVS-BUS-Weekday-01,"East 643  Ltd Stop / Downtown",2021,6430001,1
643-62,MAY13-MVS-BUS-Weekday-01,6527988-MAY13-MVS-BUS-Weekday-01,"East 643  Ltd Stop / Downtown",2021,6430001,1
643-62,MAY13-MVS-BUS-Weekday-01,6527989-MAY13-MVS-BUS-Weekday-01,"West 643  Ltd Stop / Louisiana TC",2027,6430004,1
643-62,MAY13-MVS-BUS-Weekday-01,6527990-MAY13-MVS-BUS-Weekday-01,"East 643  Ltd Stop / Downtown",2030,6430001,1
643-62,MAY13-MVS-BUS-Weekday-01,6527991-MAY13-MVS-BUS-Weekday-01,"West 643  Ltd Stop / Hedberg Dr",2028,6430003,1
